004910876 BAS   L $$aVIS
004910877 BAS   L $$aVIS
004910878 BAS   L $$aVIS
004910879 BAS   L $$aVIS
004910880 BAS   L $$aVIS
004910881 BAS   L $$aVIS
004910882 BAS   L $$aVIS
004910883 BAS   L $$aVIS
004910884 BAS   L $$aVIS
004910885 BAS   L $$aVIS
004910886 BAS   L $$aVIS
004910887 BAS   L $$aVIS
004910888 BAS   L $$aVIS
004910889 BAS   L $$aVIS
004910890 BAS   L $$aVIS
004910891 BAS   L $$aVIS
004910892 BAS   L $$aVIS
004910893 BAS   L $$aVIS
004910894 BAS   L $$aVIS
004910895 BAS   L $$aVIS
004910896 BAS   L $$aVIS
004910897 BAS   L $$aVIS
004910898 BAS   L $$aVIS
004910899 BAS   L $$aVIS
004910900 BAS   L $$aVIS
004910901 BAS   L $$aVIS
004910902 BAS   L $$aVIS
004910903 BAS   L $$aVIS
004910904 BAS   L $$aVIS
004910905 BAS   L $$aVIS
004910906 BAS   L $$aVIS
004910907 BAS   L $$aVIS
004910908 BAS   L $$aVIS
004910909 BAS   L $$aVIS
004910910 BAS   L $$aVIS
004910911 BAS   L $$aVIS
004910912 BAS   L $$aVIS
004910913 BAS   L $$aVIS
004910914 BAS   L $$aVIS
004910915 BAS   L $$aVIS
004910916 BAS   L $$aVIS
004910917 BAS   L $$aVIS
004910918 BAS   L $$aVIS
004910919 BAS   L $$aVIS
004910920 BAS   L $$aVIS
004910921 BAS   L $$aVIS
004910922 BAS   L $$aVIS
004910923 BAS   L $$aVIS
004910924 BAS   L $$aVIS
004910925 BAS   L $$aVIS
004910926 BAS   L $$aVIS
004910927 BAS   L $$aVIS
004910928 BAS   L $$aVIS
004910929 BAS   L $$aVIS
004910930 BAS   L $$aVIS
004910931 BAS   L $$aVIS
004910932 BAS   L $$aVIS
004910933 BAS   L $$aVIS
004910934 BAS   L $$aVIS
004910935 BAS   L $$aVIS
004910936 BAS   L $$aVIS
004910937 BAS   L $$aVIS
004910938 BAS   L $$aVIS
004910939 BAS   L $$aVIS
004910940 BAS   L $$aVIS
004910941 BAS   L $$aVIS
004910942 BAS   L $$aVIS
004910943 BAS   L $$aVIS
004910944 BAS   L $$aVIS
004910945 BAS   L $$aVIS
004910946 BAS   L $$aVIS
004910947 BAS   L $$aVIS
004910948 BAS   L $$aVIS
004910949 BAS   L $$aVIS
004910950 BAS   L $$aVIS
004910951 BAS   L $$aVIS
004910952 BAS   L $$aVIS
004910953 BAS   L $$aVIS
004910954 BAS   L $$aVIS
004910955 BAS   L $$aVIS
004910956 BAS   L $$aVIS
004910957 BAS   L $$aVIS
004910958 BAS   L $$aVIS
004910959 BAS   L $$aVIS
004910960 BAS   L $$aVIS
004910961 BAS   L $$aVIS
004910962 BAS   L $$aVIS
004910963 BAS   L $$aVIS
004910964 BAS   L $$aVIS
004910965 BAS   L $$aVIS
004910966 BAS   L $$aVIS
004910967 BAS   L $$aVIS
004910968 BAS   L $$aVIS
004910969 BAS   L $$aVIS
004910970 BAS   L $$aVIS
004910971 BAS   L $$aVIS
004910972 BAS   L $$aVIS
004910973 BAS   L $$aVIS
004910974 BAS   L $$aVIS
004910975 BAS   L $$aVIS
004910976 BAS   L $$aVIS
004910977 BAS   L $$aVIS
004910978 BAS   L $$aVIS
004910979 BAS   L $$aVIS
004910980 BAS   L $$aVIS
004910981 BAS   L $$aVIS
004910982 BAS   L $$aVIS
004910983 BAS   L $$aVIS
004910984 BAS   L $$aVIS
004910985 BAS   L $$aVIS
004910986 BAS   L $$aVIS
004910987 BAS   L $$aVIS
004910988 BAS   L $$aVIS
004910989 BAS   L $$aVIS
004910990 BAS   L $$aVIS
004910991 BAS   L $$aVIS
004910992 BAS   L $$aVIS
004910993 BAS   L $$aVIS
004910994 BAS   L $$aVIS
004910995 BAS   L $$aVIS
004910996 BAS   L $$aVIS
004910997 BAS   L $$aVIS
004910998 BAS   L $$aVIS
004910999 BAS   L $$aVIS
004911000 BAS   L $$aVIS
004911001 BAS   L $$aVIS
004911002 BAS   L $$aVIS
004911003 BAS   L $$aVIS
004911004 BAS   L $$aVIS
004911005 BAS   L $$aVIS
004911006 BAS   L $$aVIS
004911007 BAS   L $$aVIS
004911008 BAS   L $$aVIS
004911009 BAS   L $$aVIS
004911010 BAS   L $$aVIS
004911011 BAS   L $$aVIS
004911012 BAS   L $$aVIS
004911013 BAS   L $$aVIS
004911014 BAS   L $$aVIS
004911015 BAS   L $$aVIS
004911016 BAS   L $$aVIS
004911017 BAS   L $$aVIS
004911018 BAS   L $$aVIS
004911019 BAS   L $$aVIS
004911020 BAS   L $$aVIS
004911021 BAS   L $$aVIS
004911022 BAS   L $$aVIS
004911023 BAS   L $$aVIS
004911024 BAS   L $$aVIS
004911025 BAS   L $$aVIS
004911026 BAS   L $$aVIS
004911027 BAS   L $$aVIS
004911028 BAS   L $$aVIS
004911029 BAS   L $$aVIS
004911030 BAS   L $$aVIS
004911031 BAS   L $$aVIS
004911032 BAS   L $$aVIS
004911033 BAS   L $$aVIS
004911034 BAS   L $$aVIS
004911035 BAS   L $$aVIS
004911036 BAS   L $$aVIS
004911037 BAS   L $$aVIS
004911038 BAS   L $$aVIS
004911039 BAS   L $$aVIS
004911040 BAS   L $$aVIS
004911041 BAS   L $$aVIS
004911042 BAS   L $$aVIS
004911043 BAS   L $$aVIS
004911044 BAS   L $$aVIS
004911045 BAS   L $$aVIS
004911046 BAS   L $$aVIS
004911047 BAS   L $$aVIS
004911048 BAS   L $$aVIS
004911049 BAS   L $$aVIS
004911050 BAS   L $$aVIS
004911051 BAS   L $$aVIS
004911052 BAS   L $$aVIS
