	911##a	911##c	351##c	Parent	LDR	008	24500a	BAS##a	999##a	999##b	999##b	FMT	OWN##a
ArGeZi	אוסף גרשון ציפור	אוסף	ArGeZi	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	אוסף גרשון צפור	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001	אוסף גרשון ציפור	חטיבה	ArGeZi	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	חטיבת מסמכים גרשון ציפור ומשרדו על אודות פרויקטים שונים	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-001	אוסף גרשון ציפור	תיק	ArGeZi-001	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	בצלאל האקדמיה לאמנות ועיצוב בירושלים	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-001-001	אוסף גרשון ציפור	פריט	ArGeZi-001-001	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	שקף עם חומרים אדריכליים מגוונים אודות בצלאל האקדמיה לאמנות ועיצוב בירושלים	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-001-002	אוסף גרשון ציפור	פריט	ArGeZi-001-001	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	מסמך מודפס אודות בצלאל האקדמיה לאמנות ועיצוב בירושלים	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-002	אוסף גרשון ציפור	תיק	ArGeZi-001	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	אתר ההנצחה לחללי מלחמת ששת הימים בגבעת התחמושת בירושלים	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-002-001	אוסף גרשון ציפור	פריט	ArGeZi-001-002	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"חוברת המכילה טקסט, תצלומים וחומרים אדריכליים אודות אתר ההנצחה לחללי מלחמת ששת הימים בגבעת התחמושת"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-002-002	אוסף גרשון ציפור	פריט	ArGeZi-001-002	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	חוברת המכילה תצלומים וחומרים אדריכליים אודות אתר ההנצחה לחללי מלחמת ששת הימים בגבעת התחמושת	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-003	אוסף גרשון ציפור	תיק	ArGeZi-001	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	מרפאה אזורית בשכונת רמות אשכול בירושלים	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-003-001	אוסף גרשון ציפור	פריט	ArGeZi-001-003	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"חוברת המכילה טקסט, תצלומים וחומרים אדריכליים אודות מרפאה אזורית בשכונת רמות אשכול בירושלים "	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-004	אוסף גרשון ציפור	תיק	ArGeZi-001	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	מרכז קליטה ברעננה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-004-001	אוסף גרשון ציפור	פריט	ArGeZi-001-004	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום אירוע ומודל ללא קנה מידה של מרכז קליטה ברעננה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-004-002	אוסף גרשון ציפור	פריט	ArGeZi-001-004	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום אירוע ומודל ללא קנה מידה של מרכז קליטה ברעננה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-004-003	אוסף גרשון ציפור	פריט	ArGeZi-001-004	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום אירוע ומודל ללא קנה מידה של מרכז קליטה ברעננה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-004-004	אוסף גרשון ציפור	פריט	ArGeZi-001-004	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום  של מרכז קליטה ברעננה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-004-005	אוסף גרשון ציפור	פריט	ArGeZi-001-004	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום  של מרכז קליטה ברעננה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-004-006	אוסף גרשון ציפור	פריט	ArGeZi-001-004	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום  של מרכז קליטה ברעננה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-004-007	אוסף גרשון ציפור	פריט	ArGeZi-001-004	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום מודל בקנה מידה 1:500 במבט על של מרכז קליטה ברעננה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-004-008	אוסף גרשון ציפור	פריט	ArGeZi-001-004	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום מודל בקנה מידה 1:500 במבט על של מרכז קליטה ברעננה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-004-009	אוסף גרשון ציפור	פריט	ArGeZi-001-004	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום מודל בקנה מידה 1:500 במבט איזומטרי של מרכז קליטה ברעננה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-004-010	אוסף גרשון ציפור	פריט	ArGeZi-001-004	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום מודל בקנה מידה 1:500 במבט איזומטרי של מרכז קליטה ברעננה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-004-011	אוסף גרשון ציפור	פריט	ArGeZi-001-004	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום מודל בקנה מידה 1:500 במבט איזומטרי של מרכז קליטה ברעננה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-004-012	אוסף גרשון ציפור	פריט	ArGeZi-001-004	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום מודל בקנה מידה 1:500 במבט איזומטרי של מרכז קליטה ברעננה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-004-013	אוסף גרשון ציפור	פריט	ArGeZi-001-004	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום מודל בקנה מידה 1:500 במבט צדי של מרכז קליטה ברעננה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-004-014	אוסף גרשון ציפור	פריט	ArGeZi-001-004	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום מודל בקנה מידה 1:500 במבט צדי של מרכז קליטה ברעננה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-005	אוסף גרשון ציפור	תיק	ArGeZi-001	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"ביה""ח הווטרינרי אוניברסיטאי במרכז וולקני לצד בית דגן"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-005-001	אוסף גרשון ציפור	פריט	ArGeZi-001-005	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל ללא קנה מידה של ביה""ח הווטרינרי אוניברסיטאי במרכז וולקני לצד בית דגן"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-005-002	אוסף גרשון ציפור	פריט	ArGeZi-001-005	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל ללא קנה מידה של ביה""ח הווטרינרי אוניברסיטאי במרכז וולקני לצד בית דגן"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-005-003	אוסף גרשון ציפור	פריט	ArGeZi-001-005	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"חוברת המכילה חומרים אדריכליים אודות ביה""ח הווטרינרי אוניברסיטאי במרכז וולקני לצד בית דגן "	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-006	אוסף גרשון ציפור	תיק	ArGeZi-001	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"ביה""ח השרון, פתח תקווה"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-006-001	אוסף גרשון ציפור	פריט	ArGeZi-001-006	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום מודל בקנה מידה 1:200  של מרפאה אזורית לצד בית חולים השרון פתח תקווה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-006-002	אוסף גרשון ציפור	פריט	ArGeZi-001-006	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום מודל בקנה מידה 1:200  של מרפאה אזורית לצד בית חולים השרון פתח תקווה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-006-003	אוסף גרשון ציפור	פריט	ArGeZi-001-006	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"חוברת המכילה טקסט, תצלומים וחומרים אדריכליים אודות ביה""ח השרון בפתח תקווה "	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-007	אוסף גרשון ציפור	תיק	ArGeZi-001	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"לין סיטי סנטר, בניין משרדים של בנק לאומי, תל אביב"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-007-001	אוסף גרשון ציפור	פריט	ArGeZi-001-007	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"חוברת המכילה טקסט, תצלומים וחומרים אדריכליים אודות לין סיטי סנטר, בניין משרדים של בנק לאומי, תל אביב"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-008	אוסף גרשון ציפור	תיק	ArGeZi-001	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"מרכז רפואי ובי""ס לרפואה אוניברסיטאי, קון-קן, תאילנד"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-008-001	אוסף גרשון ציפור	פריט	ArGeZi-001-008	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"חוברת המכילה טקסט, תצלומים וחומרים אדריכליים אודות מרכז רפואי ובי""ס לרפואה אוניברסיטאי, קון-קן, תאילנד"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-008-002	אוסף גרשון ציפור	פריט	ArGeZi-001-008	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שקף תכנית אדריכלית בקנה מידה 1:100 של בית הספר לאחיות במרכז הרפואי ובי""ס לרפואה אוניברסיטאי, קון-קן, תאילנד"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-008-003	אוסף גרשון ציפור	פריט	ArGeZi-001-008	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שקף תכנית אדריכלית בקנה מידה 1:100 של בית הספר לאחיות במרכז הרפואי ובי""ס לרפואה אוניברסיטאי, קון-קן, תאילנד"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-009	אוסף גרשון ציפור	תיק	ArGeZi-001	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"בי""ס יסודי ""רתמים"", אשדוד"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-009-001	אוסף גרשון ציפור	פריט	ArGeZi-001-009	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"רישום של בי""ס יסודי ""רתמים"" באשדוד"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-009-002	אוסף גרשון ציפור	פריט	ArGeZi-001-009	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"מסמך פרסום מודפס הכולל טקסט וחומרים אדריכליים מגוונים עם קנה מידה אודות בי""ס יסודי ""רתמים"" באשדוד"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-010	אוסף גרשון ציפור	תיק	ArGeZi-001	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תוכנית בינוי קרית התרבות באשדוד	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-010-001	אוסף גרשון ציפור	פריט	ArGeZi-001-010	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים ורישום אדריכלי של תוכנית בינוי קרית התרבות באשדוד	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-011	אוסף גרשון ציפור	תיק	ArGeZi-001	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"מכון קזאלי לכימיה, האוניברסיטה העברית גבעת רם"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-011-001	אוסף גרשון ציפור	פריט	ArGeZi-001-011	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל ללא קנה מידה במבט אלכסוני של מכון קזאלי לכימיה, האוניברסיטה העברית גבעת רם"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-011-002	אוסף גרשון ציפור	פריט	ArGeZi-001-011	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל ללא קנה מידה במבט אלכסוני של מכון קזאלי לכימיה, האוניברסיטה העברית גבעת רם"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-011-003	אוסף גרשון ציפור	פריט	ArGeZi-001-011	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל ללא קנה מידה במבט אלכסוני של מכון קזאלי לכימיה, האוניברסיטה העברית גבעת רם"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-011-004	אוסף גרשון ציפור	פריט	ArGeZi-001-011	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"תצלום מודל ללא קנה מידה במבט אלכסוני של מכון קזאלי לכימיה, האוניברסיטה העברית גבעת רם"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-011-005	אוסף גרשון ציפור	פריט	ArGeZi-001-011	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שרטוט אדריכלי מודפס ללא קנה מידה ובמבט אלכסוני של מכון קזאלי לכימיה, האוניברסיטה העברית גבעת רם"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-012	אוסף גרשון ציפור	תיק	ArGeZi-001	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"בניין פיקרד, מעונות סטודנטים האוניברסיטה העברית בגבעת רם"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-012-001	אוסף גרשון ציפור	פריט	ArGeZi-001-012	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שקף ובו רישום במבט אלכסוני וללא קנה מידה של בניין פיקרד, מעונות סטודנטים האוניברסיטה העברית בגבעת רם"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-012-002	אוסף גרשון ציפור	פריט	ArGeZi-001-012	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שקף תוכנית אדריכלית בקנה מידה 1:50 של בניין פיקרד, מעונות סטודנטים האוניברסיטה העברית בגבעת רם"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-012-003	אוסף גרשון ציפור	פריט	ArGeZi-001-012	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שקף תוכנית אדריכלית בקנה מידה 1:50 של בניין פיקרד, מעונות סטודנטים האוניברסיטה העברית בגבעת רם"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-012-004	אוסף גרשון ציפור	פריט	ArGeZi-001-012	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שקף תוכנית אדריכלית בקנה מידה 1:100; 1:1250 של בניין פיקרד, מעונות סטודנטים האוניברסיטה העברית בגבעת רם"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
ArGeZi-001-012-005	אוסף גרשון ציפור	פריט	ArGeZi-001-012	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"שקף תוכנית אדריכלית בקנה מידה 1:200 של בניין פיקרד, מעונות סטודנטים האוניברסיטה העברית בגבעת רם"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL
