911##a,911##c,351##c,LDR,008,24510a,BAS##a,999##a,999##b,999##b,FMT,OWN##a,STA##a
 PShAV -001,שמוליק עצמון-וירצר,Fonds Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תיאטרון זווית,VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -001,שמוליק עצמון-וירצר,Series Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,נושים',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -001 -001,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תצלומים - 'נושים',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -001 -002,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,חשבון צוותא - 'נושים',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -001 -003,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,מכתבים - 'נושים',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -002,שמוליק עצמון-וירצר,Series Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,ארץ רחוקה',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -002 -001,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,מחזה בכתב יד - 'ארץ רחוקה',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -002 -002,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,אלבום עיתונות - 'ארץ רחוקה',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -002 -003,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,עלון - 'ארץ רחוקה',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -002 -004,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,מחזה מלווה הערות - 'ארץ רחוקה',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -002 -005,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תצלומים - 'ארץ רחוקה',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -003,שמוליק עצמון-וירצר,Series Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,ברכט על ברכט',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
 PShAV -001 -003 -001,שמוליק עצמון-וירצר,File Record,00000npc^a22^^^^^^^^4500,^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d,תצלומים - 'ברכט על ברכט',VIS,ARCHIVE,NOULI,NOOCLC,MX,NNL,SUPPRESSED
