911##a	911##c	351##c	LDR	008	24510a	BAS##a	999##a	999##b	999##b	FMT	OWN##a	STA##a
PYoBo	יורם בוקר	Section Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	שם האוסף	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001	יורם בוקר	Fonds Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	פעילותו של יורם בוקר	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-001	יורם בוקר	Series Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	עיתונות - יורם בוקר	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-001-001	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	עיתונות - ריאיונות עם יורם בוקר	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-001-002	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	עיתונות ישראלית  - יורם בוקר	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-001-003	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"עיתונות חו""ל - יורם בוקר"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-001-004	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	עיתונות - קטעי קישור באירוויזיון 1979	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-002	יורם בוקר	Series Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - פעילותו של יורם בוקר	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-002-001	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - פסטיבל 'אמנות לעם' באילת	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYoBo-001-002-002	יורם בוקר	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - 'הפסטיבל הישראלי לפנטומימה בקרית שמונה'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
