911##a	911##c	351##c	LDR	008	24510a	BAS##a	999##a	999##b	999##b	FMT	OWN##a	STA##a
PMuGi-001-299	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-300	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-301	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-302	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-303	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-304	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-305	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-306	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-307	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-308	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-309	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-310	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-311	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-312	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-313	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-314	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-315	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-316	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-317	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-318	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-319	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-320	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-321	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-322	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-323	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PMuGi-001-324	אוסף מוניו גיתאי4	תיק	00000npd^a22^^^^^^a^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	Add Title	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
