911##a	911##c	351##c	LDR	008	24510a	BAS##a	999##a	999##b	999##b	FMT	OWN##a	5420#l	5420#n	5420#o	5420#q	540##a	540##u	5061#a	5061#b	5061#0	
BALF	$$c??? ????	Section Record	00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	????	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	??? ????? ??? ??????	????? ?????	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008	
BALF-?001		File Record	00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	????? - ?? ???????? 1981	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	??? ????? ??? ??????	????? ?????	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008	
BALF-?002		File Record	00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"?????? - ""??? ???? ???"" ??? ?-80 ???? ???? ????? (?????)"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	??? ????? ??? ??????	????? ?????	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008	
BALF-?003		File Record	00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	??????? - ??????? 1976	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	??? ????? ??? ??????	????? ?????	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008	
BALF-?004		Item Record	00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"????? - ???? ?? ????? ??????, ???? 25 ??????"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	??? ????? ??? ??????	????? ?????	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008	
BALF-?005		Item Record	00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	????? - ?????? ????? ??? ???????? ?????? ??? ????	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	??? ????? ??? ??????	????? ?????	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008	
BALF-?006		Item Record	00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	????? - ???? ???????	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	??? ????? ??? ??????	????? ?????	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008	
BALF-?007		Item Record	00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	????? - ????? ????	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	??? ????? ??? ??????	????? ?????	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008	
																					
																					
																					
																					
																					
																					
