911##a	911##c	351##c	LDR	008	24510a	BAS##a	999##a	999##b	999##b	FMT	OWN##a	STA##a
PDaSh	אוסף דוד שריר	Section Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	אוסף דוד שריר	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-001	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצות תלבושות - 'אסתר המלכה', 1966	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-002	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	סקיצת תפאורה - 'אסתר המלכה', 1966	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-003	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	דגם תפאורה - 'מזמור לירושלים', 1978	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-004	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	דגם תפאורה - 'טלטלה', 1974	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-005	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	דגם תפאורה - 'צור וירושלים', 2003	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-006	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	דגם תפאורה - 'הדיבוק', 1983	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-007	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תפאורה - 'הנזל וגרטל', 1978, 1 מתוך 2	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-008	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תפאורה - 'הנזל וגרטל', 1978, 2 מתוך 2	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-009	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תפאורה - 'מאנון ופאוסט', 1981	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-010	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	דגם תפאורה - 'דידו ואינאס', 1985, 1 מתוך 2	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-011	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	דגם תפאורה - 'דידו ואינאס', 1985 2 מתוך 2	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-012	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	דגם תפאורה - 'אלקטרה', 2000	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-013	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	דגם תפאורה - 'ספור גן-עדן', 1981	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-014	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	דגם תפאורה - 'ההולנדי המעופף', 1980	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-015	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום תפאורה - 'ההולנדי המעופף', 1980	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PDaSh-016	אוסף דוד שריר	Item Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלום במה - 'אחותי כלה', 1969, 1 מתוך 2	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
