000000001 FMT   L MX
000000001 LDR   L 00000npc^a22^^^^^^^^4500
000000001 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000001 911   L $$aPShKo$$cאוסף שוש קורמוש
000000001 351   L $$cSection Record
000000001 24510 H $$aאוסף שוש קורמוש
000000001 BAS   L $$aVIS
000000001 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000001 OWN   L $$aNNL
000000001 STA   L $$aSUPPRESSED
000000002 FMT   L MX
000000002 LDR   L 00000npc^a22^^^^^^^^4500
000000002 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000002 911   L $$aPShKo-DNC$$cאוסף שוש קורמוש
000000002 351   L $$cFonds Record
000000002 24510 H $$aחטיבת תצלומי מחול
000000002 BAS   L $$aVIS
000000002 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000002 OWN   L $$aNNL
000000002 STA   L $$aSUPPRESSED
000000003 FMT   L MX
000000003 LDR   L 00000npc^a22^^^^^^^^4500
000000003 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000003 911   L $$aPShKo-DNC-LDNBG$$cאוסף שוש קורמוש
000000003 351   L $$cSeries Record
000000003 24510 H $$aתצלומים - ליאת דרור וניר בן גל
000000003 BAS   L $$aVIS
000000003 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000003 OWN   L $$aNNL
000000003 STA   L $$aSUPPRESSED
000000004 FMT   L MX
000000004 LDR   L 00000npc^a22^^^^^^^^4500
000000004 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000004 911   L $$aPShKo-DNC-LDNBG-001$$cאוסף שוש קורמוש
000000004 351   L $$cFile Record
000000004 24510 H $$aקופסת תצלומים ותשלילים - ליאת וניר, 1 מתוך 4
000000004 BAS   L $$aVIS
000000004 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000004 OWN   L $$aNNL
000000004 STA   L $$aSUPPRESSED
000000005 FMT   L MX
000000005 LDR   L 00000npc^a22^^^^^^^^4500
000000005 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000005 911   L $$aPShKo-DNC-LDNBG-002$$cאוסף שוש קורמוש
000000005 351   L $$cFile Record
000000005 24510 H $$aקופסת תצלומים ותשלילים - ליאת וניר, 2 מתוך 4
000000005 BAS   L $$aVIS
000000005 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000005 OWN   L $$aNNL
000000005 STA   L $$aSUPPRESSED
000000006 FMT   L MX
000000006 LDR   L 00000npc^a22^^^^^^^^4500
000000006 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000006 911   L $$aPShKo-DNC-LDNBG-003$$cאוסף שוש קורמוש
000000006 351   L $$cFile Record
000000006 24510 H $$aקופסת תצלומים ותשלילים - ליאת וניר, 3 מתוך 4
000000006 BAS   L $$aVIS
000000006 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000006 OWN   L $$aNNL
000000006 STA   L $$aSUPPRESSED
000000007 FMT   L MX
000000007 LDR   L 00000npc^a22^^^^^^^^4500
000000007 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000007 911   L $$aPShKo-DNC-LDNBG-004$$cאוסף שוש קורמוש
000000007 351   L $$cFile Record
000000007 24510 H $$aקופסת תצלומים ותשלילים - ליאת וניר, 4 מתוך 4
000000007 BAS   L $$aVIS
000000007 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000007 OWN   L $$aNNL
000000007 STA   L $$aSUPPRESSED
000000008 FMT   L MX
000000008 LDR   L 00000npc^a22^^^^^^^^4500
000000008 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000008 911   L $$aPShKo-DNC-LDNBG-005$$cאוסף שוש קורמוש
000000008 351   L $$cFile Record
000000008 24510 H $$aתצלומי פורטרט ורקדנית, יצירה לא ידועה
000000008 BAS   L $$aVIS
000000008 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000008 OWN   L $$aNNL
000000008 STA   L $$aSUPPRESSED
000000009 FMT   L MX
000000009 LDR   L 00000npc^a22^^^^^^^^4500
000000009 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000009 911   L $$aPShKo-DNC-LDNBG-006$$cאוסף שוש קורמוש
000000009 351   L $$cFile Record
000000009 24510 H $$aתצלומים - ליאת דרור וניר בן גל
000000009 BAS   L $$aVIS
000000009 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000009 OWN   L $$aNNL
000000009 STA   L $$aSUPPRESSED
000000010 FMT   L MX
000000010 LDR   L 00000npc^a22^^^^^^^^4500
000000010 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000010 911   L $$aPShKo-DNC-LDNBG-007$$cאוסף שוש קורמוש
000000010 351   L $$cFile Record
000000010 24510 H $$aתצלומים - ליאת דרור וניר בן גל
000000010 BAS   L $$aVIS
000000010 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000010 OWN   L $$aNNL
000000010 STA   L $$aSUPPRESSED
000000011 FMT   L MX
000000011 LDR   L 00000npc^a22^^^^^^^^4500
000000011 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000011 911   L $$aPShKo-DNC-LDNBG-008$$cאוסף שוש קורמוש
000000011 351   L $$cFile Record
000000011 24510 H $$aתצלומים - רקדנית לא ידועה
000000011 BAS   L $$aVIS
000000011 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000011 OWN   L $$aNNL
000000011 STA   L $$aSUPPRESSED
000000012 FMT   L MX
000000012 LDR   L 00000npc^a22^^^^^^^^4500
000000012 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000012 911   L $$aPShKo-DNC-LDNBG-009$$cאוסף שוש קורמוש
000000012 351   L $$cFile Record
000000012 24510 H $$aתצלומים - נשים וגברים רוקדים בשמלות
000000012 BAS   L $$aVIS
000000012 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000012 OWN   L $$aNNL
000000012 STA   L $$aSUPPRESSED
000000013 FMT   L MX
000000013 LDR   L 00000npc^a22^^^^^^^^4500
000000013 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000013 911   L $$aPShKo-DNC-LDNBG-010$$cאוסף שוש קורמוש
000000013 351   L $$cFile Record
000000013 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000013 BAS   L $$aVIS
000000013 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000013 OWN   L $$aNNL
000000013 STA   L $$aSUPPRESSED
000000014 FMT   L MX
000000014 LDR   L 00000npc^a22^^^^^^^^4500
000000014 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000014 911   L $$aPShKo-DNC-LDNBG-011$$cאוסף שוש קורמוש
000000014 351   L $$cFile Record
000000014 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000014 BAS   L $$aVIS
000000014 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000014 OWN   L $$aNNL
000000014 STA   L $$aSUPPRESSED
000000015 FMT   L MX
000000015 LDR   L 00000npc^a22^^^^^^^^4500
000000015 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000015 911   L $$aPShKo-DNC-LDNBG-012$$cאוסף שוש קורמוש
000000015 351   L $$cFile Record
000000015 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000015 BAS   L $$aVIS
000000015 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000015 OWN   L $$aNNL
000000015 STA   L $$aSUPPRESSED
000000016 FMT   L MX
000000016 LDR   L 00000npc^a22^^^^^^^^4500
000000016 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000016 911   L $$aPShKo-DNC-LDNBG-013$$cאוסף שוש קורמוש
000000016 351   L $$cFile Record
000000016 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000016 BAS   L $$aVIS
000000016 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000016 OWN   L $$aNNL
000000016 STA   L $$aSUPPRESSED
000000017 FMT   L MX
000000017 LDR   L 00000npc^a22^^^^^^^^4500
000000017 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000017 911   L $$aPShKo-DNC-LDNBG-014$$cאוסף שוש קורמוש
000000017 351   L $$cFile Record
000000017 24510 H $$aתצלומים - רקדנית לא ידועה
000000017 BAS   L $$aVIS
000000017 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000017 OWN   L $$aNNL
000000017 STA   L $$aSUPPRESSED
000000018 FMT   L MX
000000018 LDR   L 00000npc^a22^^^^^^^^4500
000000018 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000018 911   L $$aPShKo-DNC-LDNBG-015$$cאוסף שוש קורמוש
000000018 351   L $$cFile Record
000000018 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000018 BAS   L $$aVIS
000000018 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000018 OWN   L $$aNNL
000000018 STA   L $$aSUPPRESSED
000000019 FMT   L MX
000000019 LDR   L 00000npc^a22^^^^^^^^4500
000000019 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000019 911   L $$aPShKo-DNC-LDNBG-016$$cאוסף שוש קורמוש
000000019 351   L $$cFile Record
000000019 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000019 BAS   L $$aVIS
000000019 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
