911##a	911##c	351##c	LDR	008	24510a	BAS##a	999##a	999##b	999##b	FMT	OWN##a	STA##a
PShKo	אוסף שוש קורמוש	Section Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	אוסף שוש קורמוש	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PShKo-DNC	אוסף שוש קורמוש	Fonds Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	חטיבת תצלומי מחול	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PShKo-DNC-LDNBG	אוסף שוש קורמוש	Series Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - ליאת דרור וניר בן גל	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PShKo-DNC-LDNBG-001	אוסף שוש קורמוש	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	קופסת תצלומים ותשלילים - ליאת וניר, 1 מתוך 4	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PShKo-DNC-LDNBG-002	אוסף שוש קורמוש	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	קופסת תצלומים ותשלילים - ליאת וניר, 2 מתוך 4	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PShKo-DNC-LDNBG-003	אוסף שוש קורמוש	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	קופסת תצלומים ותשלילים - ליאת וניר, 3 מתוך 4	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PShKo-DNC-LDNBG-004	אוסף שוש קורמוש	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	קופסת תצלומים ותשלילים - ליאת וניר, 4 מתוך 4	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PShKo-DNC-LDNBG-005	אוסף שוש קורמוש	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומי פורטרט ורקדנית, יצירה לא ידועה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PShKo-DNC-LDNBG-006	אוסף שוש קורמוש	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - ליאת דרור וניר בן גל	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PShKo-DNC-LDNBG-007	אוסף שוש קורמוש	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - ליאת דרור וניר בן גל	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PShKo-DNC-LDNBG-008	אוסף שוש קורמוש	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - רקדנית לא ידועה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PShKo-DNC-LDNBG-009	אוסף שוש קורמוש	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - נשים וגברים רוקדים בשמלות	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PShKo-DNC-LDNBG-010	אוסף שוש קורמוש	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - להקת המחול, יצירה לא ידועה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PShKo-DNC-LDNBG-011	אוסף שוש קורמוש	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - להקת המחול, יצירה לא ידועה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PShKo-DNC-LDNBG-012	אוסף שוש קורמוש	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - להקת המחול, יצירה לא ידועה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PShKo-DNC-LDNBG-013	אוסף שוש קורמוש	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - להקת המחול, יצירה לא ידועה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PShKo-DNC-LDNBG-014	אוסף שוש קורמוש	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	תצלומים - רקדנית לא ידועה	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
