911##a	911##c	351##c	LDR	008	24510a	BAS##a	999##a	999##b	999##b	FMT	OWN##a	STA##a
PYaKa	אוסף יעקב קאופמן	Section Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	אוסף יעקב קאופמן	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001	אוסף יעקב קאופמן	Fonds Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספרי סקיצות	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-001	אוסף יעקב קאופמן	Series Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספרי סקיצות - 1970-1979	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-001-001	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה א' - 1972	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-001-002	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה ב' - 1972	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-001-003	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה ג' - 1972	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-001-004	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה ז' - 1972	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-001-005	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה ח' - 1973-1972	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-001-006	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה י' - 1972-1975	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-001-007	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה יא' - 1973-1974	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-001-008	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה יב' - 1975-1978	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-001-009	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה יג' - 1975-1978	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-001-010	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה ה'-ו' - 1975-1979	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
PYaKa-001-001-011	אוסף יעקב קאופמן	File Record	00000npc^a22^^^^^^^^4500	^^^^^^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	ספר סקיצה יד' - 1975-1979	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	SUPPRESSED
