911##a	911##c	351##c	LDR	008	24510a	BAS##a	999##a	999##b	999##b	FMT	OWN##a	5420#l	5420#n	5420#o	5420#q	540##a	540##u	5061#a	5061#b	5061#0
PYaKa-002	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"כרזות, קטלוגים, ספרים וחומרים שונים"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-001	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	כרזות לתערוכות	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-001-001	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"כרזה- 'שונרא - טיפולוגיה של חתול', 2010"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-001-002	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"כרזה לתערוכה - 'רעשנים', 2017"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-001-003	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"כרזה לתערוכה - KAI WORLD SCISSORS & SHEARS DESIGN COMPETITION, 1989"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-002	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"קטלוגים ודו""ח הצעה למשרד החינוך"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-002-001	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"קטלוג - 'אני אחר: תכשיט ישראלי', 2012"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-002-002	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"קטלוג - 'פריסקופ: עיצוב ישראלי עכשווי', 2011"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-002-003	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"קטלוג - 'תגובת שרשרת, תכשיט ישראלי 2'"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-002-004	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	קטלוג - 'gaga&design'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-002-005	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"דו""ח הצעה לשימוש במקלטי בית ספר"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-003	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"רישומים לספר 'כסא', 1987"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-003-001	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"רישומים בעט - ספר 'כסא', 1 מתוך 3"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-003-002	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"רישומים בעט - ספר 'כסא', 2 מתוך 3"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-003-003	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"רישומים בעט - ספר 'כסא', 3 מתוך 3"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-003-004	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	רישום פרוטאז' - ספר 'כסא'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-003-005	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	רישום פרוטאז' על נייר פרגמנט - ספר 'כסא'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-003-006	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	רישום במכחול ודיו - ספר 'כסא'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-003-007	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"רישום בעט, מכחול ודיו - ספר 'כסא'"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-003-008	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	רישום בגיר שמן צבעוני - ספר 'כסא'	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-003-009	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"טכניקה מעורבת - ספר 'כסא', 1 מתוך 4"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-003-010	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"טכניקה מעורבת - ספר 'כסא', 2 מתוך 4"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-003-011	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"טכניקה מעורבת - ספר 'כסא', 3 מתוך 4"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
PYaKa-002-003-012	יעקב קאופמן		00000npc^a22^^^^^^a^4500	^k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d	"טכניקה מעורבת - ספר 'כסא', 4 מתוך 4"	VIS	ARCHIVE	NOULI	NOOCLC	MX	NNL	$$lCopyright status not determined; Contract	No copyright analysis	Noam Solan by Yael Gherman 20191030	ללא ניתוח מצב זכויות	איסור העתקה	http://web.nli.org.il/sites/NLI/Hebrew/library/items-terms-of-use/Pages/nli-copying-prohibited.aspx	Library premises only;	Permissions officer;	000000008
